OK [floodfill] lin-wantang-standing-800x1200.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-standing-800x1200.png (alpha (0, 255))
OK [floodfill] lin-wantang-expr-smile-v3.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-expr-smile-v3.png (alpha (0, 255))
OK [floodfill] lin-wantang-expr-shy-v3.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-expr-shy-v3.png (alpha (0, 255))
OK [floodfill] lin-wantang-expr-worried-v2.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-expr-worried-v2.png (alpha (0, 255))
OK [floodfill] lin-wantang-expr-crying-v2.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-expr-crying-v2.png (alpha (0, 255))
OK [floodfill] lin-wantang-expr-crying-moved-v3.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-expr-crying-moved-v3.png (alpha (0, 255))
OK [floodfill] lin-wantang-surprised-v4.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-surprised-v4.png (alpha (0, 255))
OK [floodfill] lin-wantang-standing-2000s-tracksuit.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-standing-2000s-tracksuit.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-normal.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-normal.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-smile-v2.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-smile-v2.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-shy.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-shy.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-worried.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-worried.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-cry-v2.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-cry-v2.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-cry-moved-v3.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-cry-moved-v3.png (alpha (0, 255))
OK [floodfill] lin-wantang-2000s-expr-surprised.png -> J:\项目\GAL\美术资源初稿\立绘\lin-wantang-2000s-expr-surprised.png (alpha (0, 255))
